Subcategory,ITEM_DESC,SOURCE,ITEM,Subcategory2
APIS,APIS COORDINATION-MEXICO-ARRIVAL-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-MEXICO-DEPARTURE,Services,1APIS,
APIS,APIS COORDINATION-MEXICO-DEPARTURE-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-MEXICO-DEPARTURE-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-FINLAND,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-GUAM,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-PUERTO RICO,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION-FINLAND,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION-PUERTO RICO,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION-UNITED ARAB EMIRATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-UNITED ARAB EMIRATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-UNITED ARAB EMIRATES.,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-ARRIVAL-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-FINLAND,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-GUAM,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-PUERTO RICO,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-UNITED ARAB EMIRATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-UNITED ARAB EMIRATES.,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-PRIVATE-DEPARTURE-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATIONPRIVATE-DEPARTURE-REVISION,Services,1APIS,
APIS,APIS COORDINATIONPRIVATE-DEPARTURE-REVISION-MEXICO,Services,1APIS,
APIS,APIS COORDINATIONPRIVATE-DEPARTURE-REVISION-MEXICO,Services,1APIS,
APIS,APIS COORDINATIONPRIVATE-DEPARTURE-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATIONPRIVATE-DEPARTURE-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATIONPRIVATE-DEPARTURE-REVISION-UNITED STATES NO DELIVERY,Services,1APIS,
APIS,APIS NOTIFICATIONS-UNITED STATES,Services,6APIS,
APIS,CANPASS-CANADA,Services,1CAPA,
APIS,CANPASS-REVISION-CANADA,Services,1CAPAR,
Flight Plans,*APU/GPU CHARGES,Services,2APU,
Avgas,AVGAS,Contract,AVGAS,
Catering,CATERING,Contract,837,
Catering,DISHES,Contract,8357,
Catering,DISHWASHING SERVICE,Contract,8069,
Catering,IN-FLIGHT CATERING DISPOSAL,Contract,8073,
Catering,CATERING,Retail,2CA,
Catering,*CATERING-ICE & DELIVERY,Retail,,
Catering,TABLE LINENS ON AIRCRAFT,Retail,2LIN,
Catering,*CATERING,Services,2CA,
Catering,*CATERING,Services,7CA,
Catering,*AIRPORT FEES-CATERING,Services,2AC,
Catering,*AGENT HANDLING-CATERING,Services,2AH,
Catering,*CATERING-CATERING HANDLING,Services,2CA,
Catering,*CATERING-HANDLING,Services,2CA,
Catering,*CATERING-ICE & HANDLING,Services,2CA,
Catering,*CATERING-HANDLER HOTEL & MEALS,Services,2CA,
Catering,*CATERING-HOTEL,Services,2CA,
Catering,*CATERING COORDINATION FEE (3RD PARTY),Services,2CA,
Catering,*CATERING COORDINATION FEE (3RD PARTY)-CATERING DELIVERY,Services,2CA,
Catering,*CATERING COORDINATION FEE (3RD PARTY)-DELIVERY,Services,2CA,
Catering,*CATERING COORDINATION FEE (3RD PARTY)-DELIVERY,Services,2CA,
Catering,*CATERING COORDINATION FEE (3RD PARTY)-FBO,Services,2CA,
Catering,*CATERING SETUPS,Services,2CA,
Catering,*CATERING SETUPS-FBO,Services,2CA,
Catering,*CATERING-& DELIVERY,Services,2CA,
Catering,*CATERING-& DELIVERY,Services,2CA,
Catering,*CATERING-& DELIVERY FEE,Services,2CA,
Catering,*CATERING-& LAUNDRY,Services,2CA,
Catering,*CATERING-2.5%,Services,2CA,
Catering,*CATERING-3 ICE,Services,2CA,
Catering,*CATERING-7.7%,Services,2CA,
Catering,*CATERING-ABSOLUTE TASTE INFLIGHT BY GATE GOURMET,Services,2CA,
Catering,*CATERING-AIR CULINAIRE,Services,2CA,
Catering,*CATERING-ATLANTIC AVIATION PHL,Services,2CA,
Catering,*CATERING-BOND WAREHOUSE FEE FOR CATERING BAGS,Services,2CA,
Catering,*CATERING-BOTTLE WATER/SOFT DRINKS,Services,2CA,
Catering,*CATERING-BY SAMSAON,Services,2CA,
Catering,*CATERING-CANCELLATION FEE,Services,2CA,
Catering,*CATERING-CATERING / HIGH LOADER SERVICE,Services,2CA,
Catering,*CATERING-CATERING / ICE,Services,2CA,
Catering,*CATERING-CATERING / ICE,Services,2CA,
Catering,*CATERING-CATERING AND ICE,Services,2CA,
Catering,*CATERING-CATERING DISBURSEMENT,Services,2CA,
Catering,*CATERING-CATERING REQUIREMENTS,Services,2CA,
Catering,*CATERING-CATERING TRANSPO,Services,2CA,
Catering,*CATERING-COFFEE,Services,2CA,
Catering,*CATERING-COFFEE & ICE,Services,2CA,
Catering,*CATERING-COFFEE & ICE & HOT WATER,Services,2CA,
Catering,*CATERING-COFFEE / HOT WATER / ICE,Services,2CA,
Catering,*CATERING-COFFEE / ICE,Services,2CA,
Catering,"*CATERING-COFFEE, WATER, ICE",Services,2CA,
Catering,*CATERING-COFFEE/HOT WATER & ICE,Services,2CA,
Catering,*CATERING-COFFEE/ICE,Services,2CA,
Catering,*CATERING-COFFEE/ICE/HOT WATER,Services,2CA,
Catering,*CATERING-COFFEE/ICE/TEA,Services,2CA,
Catering,*CATERING-COMMISSION,Services,2CA,
Catering,*CATERING-DELIVERING SERVICE,Services,2CA,
Catering,*CATERING-DELIVERY,Services,2CA,
Catering,*CATERING-DELIVERY,Services,2CA,
Catering,*CATERING-DELIVERY FEE,Services,2CA,
Catering,*CATERING-DISBURSEMENT ON ICE CUBE,Services,2CA,
Catering,*CATERING-DNATA US INFLIGHT CATERING,Services,2CA,
Catering,*CATERING-DRINKING WATER,Services,2CA,
Catering,*CATERING-DRINKING WATER SERVICE,Services,2CA,
Catering,*CATERING-EXTRA SERVICE ICE,Services,2CA,
Catering,*CATERING-FLIGHT POSTPONED - SHORT NOTICE,Services,2CA,
Catering,*CATERING-FOOD & DELIVERY,Services,2CA,
Catering,*CATERING-FOUR SEASONS AVIATION CATERING,Services,2CA,
Catering,*CATERING-FRILLS CATERING,Services,2CA,
Catering,*CATERING-GODDARD CATERING GROUP,Services,2CA,
Catering,*CATERING-HIGH FLYING FOOD LTD,Services,2CA,
Catering,*CATERING-HOT WATER,Services,2CA,
Catering,*CATERING-HOT WATER & ICE,Services,2CA,
Catering,*CATERING-HOT WATER/ICE,Services,2CA,
Catering,*CATERING-ICE,Services,2CA,
Catering,*CATERING-ICE,Services,2CA,
Catering,*CATERING-ICE & COFEE,Services,2CA,
Catering,*CATERING-ICE & COFFEE,Services,2CA,
Catering,*CATERING-ICE & COFFEE,Services,2CA,
Catering,*CATERING-ICE & HOT WATER & COFFEE,Services,2CA,
Catering,*CATERING-ICE & MILK,Services,2CA,
Catering,*CATERING-ICE / COFFEE,Services,2CA,
Catering,*CATERING-ICE CUBES,Services,2CA,
Catering,*CATERING-ICE CUBES & TRANSPORT,Services,2CA,
Catering,*CATERING-ICE CUBES/COFFEE,Services,2CA,
Catering,*CATERING-ICE SUPPLY,Services,2CA,
Catering,"*CATERING-ICE, CATERING & MILK ",Services,2CA,
Catering,*CATERING-ICE/COFFEE,Services,2CA,
Catering,*CATERING-ICE/RFRI STORAGE,Services,2CA,
Catering,*CATERING-ICECUBES/COFFEE,Services,2CA,
Catering,*CATERING-ICED,Services,2CA,
Catering,*CATERING-ICW,Services,2CA,
Catering,*CATERING-IN FLIGHT,Services,2CA,
Catering,*CATERING-IN FLIGHT CATERING - STILL WATER&  SOFT DRINKS,Services,2CA,
Catering,*CATERING-IN FLIGHT CATERING STILL WATER & SOFT DRINKS,Services,2CA,
Catering,*CATERING-IN-FLIGHT,Services,2CA,
Catering,*CATERING-IN-FLIGHT CATERING,Services,2CA,
Catering,*CATERING-IN-FLIGHT CATERING,Services,2CA,
